CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
09/12/2019,2:30,QUEENS,11372,40.74675,-73.89233,POINT (-73.89233 40.74675),ROOSEVELT AVENUE                ,73 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4204160,Taxi,Taxi,,,
09/11/2019,14:30,BROOKLYN,11205,40.699192,-73.95519,POINT (-73.95519 40.699192),WALWORTH STREET                 ,FLUSHING AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4204264,Station Wagon/Sport Utility Vehicle,,,,
08/16/2019,10:00,QUEENS,11369,40.76199,-73.86934,POINT (-73.86934 40.76199),100 STREET                      ,ASTORIA BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4191340,Sedan,Sedan,,,
09/04/2019,10:40,BROOKLYN,11217,40.686928,-73.98484,POINT (-73.98484 40.686928),ATLANTIC AVENUE                 ,BOND STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4200282,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
04/15/2016,19:30,QUEENS,11691,,,,PINSON STREET                   ,DIX AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3433990,4 dr sedan,,,,
02/04/2020,11:30,,,,,,NEW ENGLAND THRUWAY RAMP        ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4284077,Station Wagon/Sport Utility Vehicle,,,,
09/04/2019,15:45,QUEENS,11373,40.734188,-73.874,POINT (-73.874 40.734188),57 AVENUE                       ,HOFFMAN DRIVE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4201041,Sedan,Sedan,,,
09/12/2019,15:40,QUEENS,11434,40.657482,-73.76977,POINT (-73.76977 40.657482),ROCKAWAY BOULEVARD              ,149 ROAD,,0,0,0,0,0,0,0,0,Other Vehicular,Reaction to Uninvolved Vehicle,,,,4204668,Sedan,Sedan,,,
08/27/2019,12:30,,,40.88437,-73.90105,POINT (-73.90105 40.88437),BROADWAY                        ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4195548,Sedan,Station Wagon/Sport Utility Vehicle,,,
09/09/2019,13:00,MANHATTAN,10007,40.713135,-74.00407,POINT (-74.00407 40.713135),CENTRE STREET                   ,CHAMBERS STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4203738,Van,Station Wagon/Sport Utility Vehicle,,,
09/01/2019,15:00,BROOKLYN,11214,40.604748,-73.99686,POINT (-73.99686 40.604748),,,2029      85 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,,,,,4198596,Sedan,,,,
08/18/2019,14:00,QUEENS,11374,40.72802,-73.86368,POINT (-73.86368 40.72802),WETHEROLE STREET                ,63 DRIVE,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,4193883,Station Wagon/Sport Utility Vehicle,,,,
08/27/2019,13:13,BRONX,10451,40.815342,-73.93067,POINT (-73.93067 40.815342),GERARD AVENUE                   ,EAST 140 STREET,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,4195794,Station Wagon/Sport Utility Vehicle,Sedan,,,
08/29/2019,19:15,,,40.834423,-73.879265,POINT (-73.879265 40.834423),EAST 174 STREET                 ,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4197760,Motorcycle,Station Wagon/Sport Utility Vehicle,,,
09/10/2019,8:15,QUEENS,11368,,,,NORTHERN BOULEVARD              ,126 STREET,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4203098,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
08/22/2019,9:15,BROOKLYN,11219,40.625614,-74.004036,POINT (-74.004036 40.625614),,,1237      67 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,,,,,4192871,Sedan,,,,
08/16/2019,11:00,QUEENS,11378,40.715187,-73.90327,POINT (-73.90327 40.715187),,,60-81     60 LANE                       ,0,0,0,0,0,0,0,0,Unspecified,,,,,4191007,Sedan,,,,
09/03/2019,0:10,BROOKLYN,11215,40.67171,-73.98761,POINT (-73.98761 40.67171),,,412       4 AVENUE                      ,0,0,0,0,0,0,0,0,Unspecified,,,,,4199746,Sedan,,,,
08/21/2019,14:45,QUEENS,11385,40.702995,-73.91107,POINT (-73.91107 40.702995),GROVE STREET                    ,CYPRESS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4193989,Station Wagon/Sport Utility Vehicle,E-Sco,,,
09/07/2019,13:24,BROOKLYN,11223,40.59511,-73.97177,POINT (-73.97177 40.59511),GRAVESEND NECK ROAD             ,VILLAGE ROAD EAST,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4202114,Station Wagon/Sport Utility Vehicle,Sedan,,,
08/26/2019,9:40,BROOKLYN,11207,40.6646,-73.89502,POINT (-73.89502 40.6646),SHEFFIELD AVENUE                ,LIVONIA AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Passing or Lane Usage Improper,,,,4195473,Station Wagon/Sport Utility Vehicle,Sedan,,,
09/07/2019,4:20,QUEENS,11419,40.68667,-73.82308,POINT (-73.82308 40.68667),,,120-01    LIBERTY AVENUE                ,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,,,4202276,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
08/17/2019,2:00,QUEENS,11411,40.694546,-73.73828,POINT (-73.73828 40.694546),,,222-14    LINDEN BOULEVARD              ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4189841,Sedan,Pick-up Truck,,,
09/05/2019,11:18,,,40.74091,-73.726654,POINT (-73.726654 40.74091),CROSS ISLAND PARKWAY            ,,,0,0,0,0,0,0,0,0,Following Too Closely,Following Too Closely,Unspecified,,,4200894,Sedan,Sedan,Sedan,,
09/11/2019,8:15,,,40.856613,-73.86864,POINT (-73.86864 40.856613),PELHAM PARKWAY SOUTH            ,BOSTON ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inexperience,,,,4204093,Sedan,Sedan,,,
09/05/2019,16:45,QUEENS,11101,40.744667,-73.931694,POINT (-73.931694 40.744667),QUEENS BOULEVARD                ,33 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4200313,Station Wagon/Sport Utility Vehicle,Van,,,
08/30/2019,10:22,MANHATTAN,10013,40.71913,-74.00875,POINT (-74.00875 40.71913),,,99        HUDSON STREET                 ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4198397,Sedan,Station Wagon/Sport Utility Vehicle,,,
